Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
0.000000, 0.016684, 0.114582
0.007078, 0.013877, 0.118518
0.014156, 0.011135, 0.122492
0.021234, 0.008463, 0.126495
0.028313, 0.005856, 0.130520
0.035391, 0.003324, 0.134555
0.042469, 0.000860, 0.138590
0.049547, 0.001524, 0.142614
0.056625, 0.003834, 0.146612
0.063703, 0.006061, 0.150575
0.070781, 0.008207, 0.154486
0.077860, 0.010268, 0.158332
0.084938, 0.012242, 0.162098
0.092016, 0.014130, 0.165767
0.099094, 0.015926, 0.169329
0.106172, 0.017433, 0.172901
0.113250, 0.018114, 0.176830
0.120328, 0.018710, 0.180588
0.127407, 0.019220, 0.184161
0.134485, 0.019642, 0.187537
0.141563, 0.019983, 0.190701
0.148641, 0.020241, 0.193641
0.155719, 0.020421, 0.196346
0.162797, 0.020522, 0.198807
0.169876, 0.020548, 0.201013
0.176954, 0.020503, 0.202955
0.184032, 0.020389, 0.204626
0.191110, 0.020208, 0.206020
0.198188, 0.019964, 0.207131
0.205266, 0.019660, 0.207958
0.212344, 0.019300, 0.208497
0.219423, 0.018887, 0.208751
0.226501, 0.018426, 0.208721
0.233579, 0.017922, 0.208418
0.240657, 0.017380, 0.207847
0.247735, 0.016807, 0.207024
0.254813, 0.016208, 0.205967
0.261891, 0.015590, 0.204695
0.268970, 0.014960, 0.203232
0.276048, 0.014325, 0.201604
0.283126, 0.013690, 0.199836
0.290204, 0.013061, 0.197956
0.297282, 0.012444, 0.195990
0.304360, 0.011843, 0.193960
0.311438, 0.011262, 0.191889
0.318517, 0.010703, 0.189795
0.325595, 0.010168, 0.187694
0.332673, 0.009658, 0.185599
0.339751, 0.009176, 0.183520
0.346829, 0.008721, 0.182039
0.353907, 0.008293, 0.183506
0.360985, 0.007891, 0.184992
0.368064, 0.007518, 0.186496
0.375142, 0.007171, 0.188007
0.382220, 0.006849, 0.189522
0.389298, 0.006553, 0.191034
0.396376, 0.006281, 0.192535
