Frequency: 900 MHz, Gain: 40
Frequency: 901 MHz, Gain: 40
Frequency: 902 MHz, Gain: 40
Frequency: 903 MHz, Gain: 40
Frequency: 904 MHz, Gain: 40
Frequency: 905 MHz, Gain: 40
Frequency: 906 MHz, Gain: 40
Frequency: 907 MHz, Gain: 40
Frequency: 908 MHz, Gain: 40
Frequency: 909 MHz, Gain: 40
Frequency: 910 MHz, Gain: 40
Frequency: 911 MHz, Gain: 40
Frequency: 912 MHz, Gain: 40
Frequency: 913 MHz, Gain: 40
Frequency: 914 MHz, Gain: 40
Frequency: 915 MHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 2 GHz, Gain: 40
Frequency: 505 MHz, Gain: 40
Frequency: 506 MHz, Gain: 40
Frequency: 507 MHz, Gain: 40
Frequency: 508 MHz, Gain: 40
Frequency: 509 MHz, Gain: 40
Frequency: 510 MHz, Gain: 40
Frequency: 511 MHz, Gain: 40
Frequency: 512 MHz, Gain: 40
Frequency: 513 MHz, Gain: 40
Frequency: 514 MHz, Gain: 40
Frequency: 515 MHz, Gain: 40
Frequency: 516 MHz, Gain: 40
Frequency: 517 MHz, Gain: 40
Frequency: 518 MHz, Gain: 40
Frequency: 519 MHz, Gain: 40
Frequency: 520 MHz, Gain: 40
Frequency: 521 MHz, Gain: 40
Frequency: 522 MHz, Gain: 40
Frequency: 523 MHz, Gain: 40
Frequency: 524 MHz, Gain: 40
Frequency: 525 MHz, Gain: 40
Frequency: 526 MHz, Gain: 40
Frequency: 527 MHz, Gain: 40
Frequency: 528 MHz, Gain: 40
Frequency: 529 MHz, Gain: 40
Frequency: 530 MHz, Gain: 40
Frequency: 531 MHz, Gain: 40
Frequency: 532 MHz, Gain: 40
Frequency: 533 MHz, Gain: 40
Frequency: 534 MHz, Gain: 40
Frequency: 535 MHz, Gain: 40
Frequency: 536 MHz, Gain: 40
Frequency: 537 MHz, Gain: 40
Frequency: 538 MHz, Gain: 40
Frequency: 539 MHz, Gain: 40
Frequency: 540 MHz, Gain: 40
Frequency: 541 MHz, Gain: 40
Frequency: 542 MHz, Gain: 40
Frequency: 543 MHz, Gain: 40
Frequency: 544 MHz, Gain: 40
Frequency: 545 MHz, Gain: 40
Frequency: 546 MHz, Gain: 40
Frequency: 547 MHz, Gain: 40
Frequency: 548 MHz, Gain: 40
Frequency: 549 MHz, Gain: 40
Frequency: 550 MHz, Gain: 40
Frequency: 551 MHz, Gain: 40
Frequency: 552 MHz, Gain: 40
Frequency: 553 MHz, Gain: 40
Frequency: 554 MHz, Gain: 40
Frequency: 555 MHz, Gain: 40
Frequency: 556 MHz, Gain: 40
Frequency: 557 MHz, Gain: 40
Frequency: 558 MHz, Gain: 40
Frequency: 559 MHz, Gain: 40
Frequency: 560 MHz, Gain: 40
Frequency: 561 MHz, Gain: 40
Frequency: 562 MHz, Gain: 40
Frequency: 563 MHz, Gain: 40
Frequency: 564 MHz, Gain: 40
Frequency: 565 MHz, Gain: 40
Frequency: 566 MHz, Gain: 40
Frequency: 567 MHz, Gain: 40
Frequency: 568 MHz, Gain: 40
Frequency: 569 MHz, Gain: 40
Frequency: 570 MHz, Gain: 40
Frequency: 571 MHz, Gain: 40
Frequency: 572 MHz, Gain: 40
Frequency: 573 MHz, Gain: 40
Frequency: 574 MHz, Gain: 40
Frequency: 575 MHz, Gain: 40
Frequency: 576 MHz, Gain: 40
Frequency: 577 MHz, Gain: 40
Frequency: 578 MHz, Gain: 40
Frequency: 579 MHz, Gain: 40
Frequency: 580 MHz, Gain: 40
