Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
0.000000, 0.444141, 2.842778
0.007078, 0.439141, 2.839831
0.014156, 0.434134, 2.836915
0.021234, 0.429166, 2.833970
0.028313, 0.424129, 2.831117
0.035391, 0.419139, 2.828229
0.042469, 0.414116, 2.825394
0.049547, 0.409087, 2.822584
0.056625, 0.404078, 2.819771
0.063703, 0.399069, 2.818269
0.070781, 0.394094, 2.818471
0.077860, 0.389013, 2.818553
0.084938, 0.384080, 2.818791
0.092016, 0.379005, 2.818911
0.099094, 0.373990, 2.819110
0.106172, 0.368973, 2.819324
0.113250, 0.363955, 2.819553
0.120328, 0.358936, 2.819799
0.127407, 0.353916, 2.820061
0.134485, 0.348895, 2.820340
0.141563, 0.343873, 2.820636
0.148641, 0.338849, 2.820949
0.155719, 0.333825, 2.821280
0.162797, 0.328799, 2.821628
0.169876, 0.323772, 2.821995
0.176954, 0.318743, 2.822381
0.184032, 0.313778, 2.822820
0.191110, 0.308718, 2.823227
0.198188, 0.303730, 2.823692
0.205266, 0.298640, 2.824128
0.212344, 0.293663, 2.824641
0.219423, 0.288627, 2.825364
0.226501, 0.283610, 2.825681
0.233579, 0.278526, 2.826213
0.240657, 0.273507, 2.826791
0.247735, 0.268487, 2.827391
0.254813, 0.263410, 2.827996
0.261891, 0.258374, 2.828635
0.268970, 0.253321, 2.829299
0.276048, 0.248271, 2.829987
0.283126, 0.243217, 2.830684
0.290204, 0.238159, 2.831445
0.297282, 0.233099, 2.832234
0.304360, 0.228042, 2.833049
0.311438, 0.222974, 2.833785
0.318517, 0.217907, 2.834626
0.325595, 0.212839, 2.835486
0.332673, 0.207769, 2.836378
0.339751, 0.202696, 2.837297
0.346829, 0.197620, 2.838244
0.353907, 0.192541, 2.839220
0.360985, 0.187460, 2.840224
0.368064, 0.182375, 2.841261
0.375142, 0.177289, 2.842321
0.382220, 0.172205, 2.843476
0.389298, 0.167109, 2.844558
0.396376, 0.162002, 2.845693
0.403454, 0.156919, 2.846886
0.410532, 0.151815, 2.848104
0.417611, 0.146729, 2.849357
0.424689, 0.141598, 2.850637
0.431767, 0.136480, 2.851934
0.438845, 0.131374, 2.853332
0.445923, 0.126252, 2.854690
0.453001, 0.121114, 2.856102
0.460079, 0.116007, 2.857567
0.467158, 0.110880, 2.859053
0.474236, 0.105750, 2.860582
0.481314, 0.100617, 2.862169
0.488392, 0.095473, 2.863737
0.495470, 0.090399, 2.865405
0.502548, 0.085190, 2.867053
0.509627, 0.080019, 2.868749
0.516705, 0.074887, 2.870503
0.523783, 0.069727, 2.872290
0.530861, 0.064569, 2.874116
0.537939, 0.059404, 2.875980
0.545017, 0.054235, 2.877884
0.552095, 0.049063, 2.879826
0.559174, 0.043889, 2.881812
0.566252, 0.038740, 2.883842
0.573330, 0.033521, 2.885907
0.580408, 0.028329, 2.888018
0.587486, 0.023139, 2.890169
0.594564, 0.017950, 2.892347
0.601642, 0.012750, 2.894576
0.608721, 0.007543, 2.896855
0.615799, 0.002338, 2.899169
0.622877, 0.002875, 2.901528
0.629955, 0.008092, 2.903930
0.637033, 0.013311, 2.906376
0.644111, 0.018539, 2.908863
0.651189, 0.023764, 2.911396
0.658268, 0.028993, 2.913971
0.665346, 0.034257, 2.916584
0.672424, 0.039476, 2.919255
0.679502, 0.044724, 2.921964
0.686580, 0.049994, 2.924705
0.693658, 0.055228, 2.927520
0.700736, 0.060486, 2.930363
0.707815, 0.065749, 2.933251
0.714893, 0.071016, 2.936184
0.721971, 0.076289, 2.939146
0.729049, 0.081491, 2.942186
0.736127, 0.086871, 2.945221
0.743205, 0.092062, 2.948350
0.750283, 0.097422, 2.951496
0.757362, 0.102716, 2.954692
0.764440, 0.108010, 2.957940
0.771518, 0.113287, 2.961399
0.778596, 0.118611, 2.964573
0.785674, 0.123950, 2.967929
0.792752, 0.129312, 2.971428
0.799830, 0.134556, 2.974826
0.806909, 0.139877, 2.978333
0.813987, 0.145202, 2.981881
0.821065, 0.150568, 2.985478
0.828143, 0.155868, 2.989128
0.835221, 0.161202, 2.992843
0.842299, 0.166461, 2.996554
0.849378, 0.171893, 3.000314
0.856456, 0.177249, 3.004129
0.863534, 0.182599, 3.007988
0.870612, 0.187965, 3.011887
0.877690, 0.193261, 3.015842
0.884768, 0.198684, 3.019817
0.891846, 0.204098, 3.023839
0.898925, 0.209487, 3.027905
0.906003, 0.214804, 3.032022
0.913081, 0.220204, 3.036190
0.920159, 0.225579, 3.040369
0.927237, 0.230948, 3.044611
0.934315, 0.236348, 3.048869
0.941393, 0.241699, 3.053214
0.948472, 0.247145, 3.057529
0.955550, 0.252550, 3.061922
0.962628, 0.257973, 3.066350
0.969706, 0.263380, 3.070833
0.976784, 0.268808, 3.075355
0.983862, 0.274214, 3.079882
0.990940, 0.279605, 3.084465
0.998019, 0.285052, 3.089066
1.005097, 0.290540, 3.093710
1.012175, 0.295822, 3.098428
1.019253, 0.301339, 3.103141
1.026331, 0.306763, 3.107906
1.033409, 0.312198, 3.112736
1.040487, 0.317648, 3.117537
1.047566, 0.323162, 3.122396
1.054644, 0.328542, 3.127307
1.061722, 0.333998, 3.132253
1.068800, 0.339438, 3.137213
1.075878, 0.344872, 3.142221
1.082956, 0.350328, 3.147258
1.090034, 0.355901, 3.152307
1.097113, 0.361294, 3.157421
1.104191, 0.366737, 3.162548
1.111269, 0.372235, 3.167709
1.118347, 0.377712, 3.172896
1.125425, 0.383189, 3.178132
1.132503, 0.388659, 3.183378
1.139581, 0.394147, 3.188667
1.146660, 0.399620, 3.193972
1.153738, 0.405087, 3.199313
1.160816, 0.410592, 3.204758
1.167894, 0.416084, 3.210131
1.174972, 0.421577, 3.215535
1.182050, 0.427075, 3.220950
1.189129, 0.432579, 3.226430
1.196207, 0.438073, 3.231938
1.203285, 0.443480, 3.237475
1.210363, 0.449088, 3.243028
1.217441, 0.454589, 3.248610
1.224519, 0.460105, 3.254224
1.231597, 0.465625, 3.259865
1.238676, 0.471092, 3.265515
1.245754, 0.476597, 3.271199
1.252832, 0.482156, 3.276897
1.259910, 0.487688, 3.282627
1.266988, 0.493196, 3.288383
1.274066, 0.498771, 3.294150
1.281144, 0.504235, 3.300011
1.288223, 0.509702, 3.305781
1.295301, 0.515295, 3.311620
1.302379, 0.520824, 3.317482
1.309457, 0.526353, 3.323400
1.316535, 0.531887, 3.329276
1.323613, 0.537419, 3.335237
1.330691, 0.542957, 3.341164
1.337770, 0.548530, 3.347139
1.344848, 0.553919, 3.353112
1.351926, 0.559575, 3.359112
1.359004, 0.565128, 3.365144
1.366082, 0.570678, 3.371194
1.373160, 0.576211, 3.377250
1.380238, 0.581743, 3.383335
1.387317, 0.587282, 3.389439
1.394395, 0.592837, 3.395562
1.401473, 0.598411, 3.401688
1.408551, 0.603960, 3.407869
1.415629, 0.609536, 3.414014
1.422707, 0.615044, 3.420202
1.429785, 0.620631, 3.426411
1.436864, 0.626191, 3.432627
1.443942, 0.631763, 3.438887
1.451020, 0.637300, 3.445117
1.458098, 0.642867, 3.451393
1.465176, 0.648543, 3.457666
1.472254, 0.654017, 3.463983
1.479333, 0.659573, 3.470291
1.486411, 0.665146, 3.476633
1.493489, 0.670724, 3.482971
1.500567, 0.676276, 3.489326
1.507645, 0.681837, 3.495718
1.514723, 0.687414, 3.502079
1.521801, 0.692976, 3.508602
1.528880, 0.698551, 3.514896
1.535958, 0.704127, 3.521321
1.543036, 0.709718, 3.527772
1.550114, 0.715284, 3.534217
1.557192, 0.720860, 3.540683
1.564270, 0.726438, 3.547161
1.571348, 0.732017, 3.553652
1.578427, 0.737597, 3.560156
1.585505, 0.743177, 3.566671
1.592583, 0.748759, 3.573199
