Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
1.414214, 0.007994, 0.253887
1.554361, 0.006889, 0.247693
1.694508, 0.006002, 0.241986
1.834655, 0.005275, 0.236633
1.974803, 0.004673, 0.231555
2.114950, 0.004167, 0.226706
2.255097, 0.003740, 0.222059
2.395245, 0.003375, 0.217598
2.535392, 0.003064, 0.213314
2.675539, 0.002795, 0.209203
2.815686, 0.002564, 0.205266
2.955834, 0.002364, 0.201503
3.095981, 0.002192, 0.197916
3.236128, 0.002042, 0.194506
3.376276, 0.001912, 0.191275
3.516423, 0.001799, 0.188224
3.656570, 0.001701, 0.185351
3.796717, 0.001616, 0.182657
3.936865, 0.001543, 0.180139
4.077012, 0.001479, 0.177794
4.217159, 0.001424, 0.175618
4.357307, 0.001375, 0.173608
4.497454, 0.001333, 0.171758
4.637601, 0.001297, 0.170063
4.777749, 0.001265, 0.168518
4.917896, 0.001237, 0.167117
5.058043, 0.001213, 0.165855
5.198190, 0.001191, 0.164728
5.338338, 0.001172, 0.163730
5.478485, 0.001155, 0.162855
5.618632, 0.001140, 0.162101
5.758780, 0.001127, 0.161463
5.898927, 0.001115, 0.160936
6.039074, 0.001104, 0.160517
6.179221, 0.001095, 0.160203
6.319369, 0.001087, 0.159991
6.459516, 0.001079, 0.159877
6.599663, 0.001073, 0.159859
6.739811, 0.001067, 0.159934
6.879958, 0.001063, 0.161916
7.020105, 0.001059, 0.164159
7.160252, 0.001056, 0.166377
7.300400, 0.001054, 0.168573
7.440547, 0.001052, 0.170751
7.580694, 0.001052, 0.172915
7.720842, 0.001052, 0.175069
7.860989, 0.001053, 0.177217
8.001136, 0.001055, 0.179361
8.141283, 0.001057, 0.181506
8.281431, 0.001061, 0.183656
8.421578, 0.001065, 0.185812
8.561725, 0.001070, 0.187979
8.701873, 0.001076, 0.190159
8.842020, 0.001083, 0.192354
8.982167, 0.001090, 0.194567
9.122315, 0.001098, 0.196800
9.262462, 0.001107, 0.199056
9.402609, 0.001117, 0.201335
9.542756, 0.001127, 0.203640
9.682904, 0.001139, 0.205974
9.823051, 0.001151, 0.208346
9.963198, 0.001163, 0.210745
10.103346, 0.001177, 0.213172
10.243493, 0.001191, 0.215629
10.383640, 0.001206, 0.218114
10.523787, 0.001221, 0.220629
10.663935, 0.001237, 0.223175
10.804082, 0.001254, 0.225751
10.944229, 0.001272, 0.228357
11.084377, 0.001290, 0.230993
11.224524, 0.001309, 0.233660
11.364671, 0.001328, 0.236357
11.504818, 0.001348, 0.239085
11.644966, 0.001368, 0.241842
11.785113, 0.001389, 0.244629
11.925260, 0.001411, 0.247445
12.065408, 0.001433, 0.250289
12.205555, 0.001456, 0.253170
12.345702, 0.001479, 0.256085
12.485849, 0.001503, 0.259030
12.625997, 0.001527, 0.262002
12.766144, 0.001552, 0.265002
12.906291, 0.001577, 0.268029
13.046439, 0.001603, 0.271083
13.186586, 0.001629, 0.274163
13.326733, 0.001655, 0.277268
13.466880, 0.001682, 0.280399
13.607028, 0.001710, 0.283553
13.747175, 0.001737, 0.286731
13.887322, 0.001766, 0.289933
14.027470, 0.001794, 0.293156
14.167617, 0.001823, 0.296402
14.307764, 0.001853, 0.299670
14.447912, 0.001882, 0.302958
14.588059, 0.001912, 0.306266
14.728206, 0.001943, 0.309595
14.868353, 0.001973, 0.312943
15.008501, 0.002004, 0.316309
15.148648, 0.002036, 0.319694
15.288795, 0.002067, 0.323097
15.428943, 0.002099, 0.326517
