Frequency: 900000000 Hz, Gain: 40
Frequency: 901000000 Hz, Gain: 40
Frequency: 902000000 Hz, Gain: 40
Frequency: 903000000 Hz, Gain: 40
Frequency: 904000000 Hz, Gain: 40
Frequency: 905000000 Hz, Gain: 40
Frequency: 906000000 Hz, Gain: 40
Frequency: 907000000 Hz, Gain: 40
Frequency: 908000000 Hz, Gain: 40
Frequency: 909000000 Hz, Gain: 40
Frequency: 910000000 Hz, Gain: 40
Frequency: 911000000 Hz, Gain: 40
Frequency: 912000000 Hz, Gain: 40
Frequency: 913000000 Hz, Gain: 40
Frequency: 914000000 Hz, Gain: 40
Frequency: 915000000 Hz, Gain: 40
Frequency: 2400000000 Hz, Gain: 40
Frequency: 2401000000 Hz, Gain: 40
Frequency: 2402000000 Hz, Gain: 40
Frequency: 2403000000 Hz, Gain: 40
Frequency: 2404000000 Hz, Gain: 40
Frequency: 2405000000 Hz, Gain: 40
Frequency: 2406000000 Hz, Gain: 40
Frequency: 2407000000 Hz, Gain: 40
Frequency: 2408000000 Hz, Gain: 40
Frequency: 2409000000 Hz, Gain: 40
Frequency: 2410000000 Hz, Gain: 40
Frequency: 2411000000 Hz, Gain: 40
Frequency: 2412000000 Hz, Gain: 40
Frequency: 2413000000 Hz, Gain: 40
Frequency: 2414000000 Hz, Gain: 40
Frequency: 2415000000 Hz, Gain: 40
Frequency: 2416000000 Hz, Gain: 40
Frequency: 2417000000 Hz, Gain: 40
Frequency: 2418000000 Hz, Gain: 40
Frequency: 2419000000 Hz, Gain: 40
Frequency: 2420000000 Hz, Gain: 40
Frequency: 2421000000 Hz, Gain: 40
Frequency: 2422000000 Hz, Gain: 40
Frequency: 2423000000 Hz, Gain: 40
Frequency: 2424000000 Hz, Gain: 40
Frequency: 2425000000 Hz, Gain: 40
Frequency: 2426000000 Hz, Gain: 40
Frequency: 2427000000 Hz, Gain: 40
Frequency: 2428000000 Hz, Gain: 40
Frequency: 2429000000 Hz, Gain: 40
Frequency: 2430000000 Hz, Gain: 40
Frequency: 2431000000 Hz, Gain: 40
Frequency: 2432000000 Hz, Gain: 40
Frequency: 2433000000 Hz, Gain: 40
Frequency: 2434000000 Hz, Gain: 40
Frequency: 2435000000 Hz, Gain: 40
Frequency: 2436000000 Hz, Gain: 40
Frequency: 2437000000 Hz, Gain: 40
Frequency: 2438000000 Hz, Gain: 40
Frequency: 2439000000 Hz, Gain: 40
Frequency: 2440000000 Hz, Gain: 40
Frequency: 2441000000 Hz, Gain: 40
Frequency: 2442000000 Hz, Gain: 40
Frequency: 2443000000 Hz, Gain: 40
Frequency: 2444000000 Hz, Gain: 40
Frequency: 2445000000 Hz, Gain: 40
Frequency: 2446000000 Hz, Gain: 40
Frequency: 2447000000 Hz, Gain: 40
Frequency: 2448000000 Hz, Gain: 40
Frequency: 2449000000 Hz, Gain: 40
Frequency: 2450000000 Hz, Gain: 40
Frequency: 2451000000 Hz, Gain: 40
Frequency: 2452000000 Hz, Gain: 40
Frequency: 2453000000 Hz, Gain: 40
Frequency: 2454000000 Hz, Gain: 40
Frequency: 2455000000 Hz, Gain: 40
Frequency: 2456000000 Hz, Gain: 40
Frequency: 2457000000 Hz, Gain: 40
Frequency: 2458000000 Hz, Gain: 40
Frequency: 2459000000 Hz, Gain: 40
Frequency: 2460000000 Hz, Gain: 40
Frequency: 2461000000 Hz, Gain: 40
Frequency: 2462000000 Hz, Gain: 40
Frequency: 2463000000 Hz, Gain: 40
Frequency: 2464000000 Hz, Gain: 40
Frequency: 2465000000 Hz, Gain: 40
Frequency: 2466000000 Hz, Gain: 40
Frequency: 2467000000 Hz, Gain: 40
Frequency: 2468000000 Hz, Gain: 40
Frequency: 2469000000 Hz, Gain: 40
Frequency: 2470000000 Hz, Gain: 40
Frequency: 2471000000 Hz, Gain: 40
Frequency: 2472000000 Hz, Gain: 40
Frequency: 2473000000 Hz, Gain: 40
Frequency: 2474000000 Hz, Gain: 40
Frequency: 2475000000 Hz, Gain: 40
Frequency: 2476000000 Hz, Gain: 40
Frequency: 2477000000 Hz, Gain: 40
Frequency: 2478000000 Hz, Gain: 40
Frequency: 2479000000 Hz, Gain: 40
Frequency: 2480000000 Hz, Gain: 40
Frequency: 2481000000 Hz, Gain: 40
Frequency: 2482000000 Hz, Gain: 40
Frequency: 2483000000 Hz, Gain: 40
Frequency: 2484000000 Hz, Gain: 40
Frequency: 2485000000 Hz, Gain: 40
Frequency: 2486000000 Hz, Gain: 40
Frequency: 2487000000 Hz, Gain: 40
Frequency: 2488000000 Hz, Gain: 40
Frequency: 2489000000 Hz, Gain: 40
Frequency: 2490000000 Hz, Gain: 40
Frequency: 2491000000 Hz, Gain: 40
Frequency: 2492000000 Hz, Gain: 40
Frequency: 2493000000 Hz, Gain: 40
Frequency: 2494000000 Hz, Gain: 40
Frequency: 2495000000 Hz, Gain: 40
Frequency: 2496000000 Hz, Gain: 40
Frequency: 2497000000 Hz, Gain: 40
Frequency: 2498000000 Hz, Gain: 40
Frequency: 2499000000 Hz, Gain: 40
Frequency: 2500000000 Hz, Gain: 40
Frequency: 505032704 Hz, Gain: 40
Frequency: 506032704 Hz, Gain: 40
Frequency: 507032704 Hz, Gain: 40
Frequency: 508032704 Hz, Gain: 40
Frequency: 509032704 Hz, Gain: 40
Frequency: 510032704 Hz, Gain: 40
Frequency: 511032704 Hz, Gain: 40
Frequency: 512032704 Hz, Gain: 40
Frequency: 513032704 Hz, Gain: 40
Frequency: 514032704 Hz, Gain: 40
Frequency: 515032704 Hz, Gain: 40
Frequency: 516032704 Hz, Gain: 40
Frequency: 517032704 Hz, Gain: 40
Frequency: 518032704 Hz, Gain: 40
Frequency: 519032704 Hz, Gain: 40
Frequency: 520032704 Hz, Gain: 40
Frequency: 521032704 Hz, Gain: 40
Frequency: 522032704 Hz, Gain: 40
